"","inf.cap","access.beta","operating.cost","dist.to.wrk","val.of.access","tr.times","policy","core.hh","inner.hh","outer.hh","beyond.hh","env.area.hh","high.access.hh","cost.burdened.hh","median.hh.price"
"134",0.732865049017128,0.273033218783559,0.0418969739959575,0.342846695490647,0.07569177084486,0,"TOD",814857,2412714,601427,1892882,363311,289804,1166241,698
"135",0.262151213102974,0.575335899611702,0.0155405530477874,0.437284992676927,0.263429799321573,1,"TOD",861954,2409995,584331,1846744,350903,307002,1169479,703
"136",0.654685390213272,0.670012351332232,0.063818394437898,0.700112453321926,0.0993239873074926,0,"TOD",816837,2384795,619038,1905467,363050,290672,1175024,682
"137",0.932830019311281,0.956008521170355,0.664894528293516,0.427530225597788,0.084326976994751,0,"TOD",809558,2421589,603221,1893095,364749,288430,1165191,686
"138",0.319864014130319,0.466657493957551,0.718882154174382,0.187081786161521,0.371014028256061,0,"TOD",823400,2392889,599057,1893613,357733,292240,1171366,693
"139",0.791320541796042,0.948285789218498,0.878145073055057,0.814434888785705,0.328878842318663,1,"TOD",848168,2422557,598569,1852089,358389,303155,1172121,714
"140",0.685754641007166,0.853800039710011,0.171206386574311,0.812274365730351,0.870625541141024,0,"TOD",832612,2380408,621547,1904320,364464,298654,1175227,697
"141",0.661165994961746,0.356894688707776,0.382778464655159,0.618058036455652,0.214626516185235,1,"TOD",854050,2425910,589594,1844327,355783,304276,1169473,695
"142",0.826917901851935,0.178441465414129,0.85300453340169,0.0127712658781093,0.797741425571963,0,"TOD",818714,2440225,589180,1873695,361115,293304,1159299,683
"143",0.933299833453028,0.892543883244041,0.96626981391781,0.237393551604822,0.862312747940188,1,"TOD",860987,2468884,570007,1822836,353891,310888,1156567,681
"144",0.672823368906043,0.658912231271155,0.208723452961538,0.0811442263335921,0.467457675037207,1,"TOD",854475,2446456,568965,1834778,351812,306178,1152203,688
"145",0.225173553421162,0.88744420605083,0.211746146471938,0.247410098677035,0.174635558921611,1,"TOD",860304,2407653,577302,1846998,348690,305824,1162348,698
"146",0.442204800635809,0.634832572551444,0.837720585119212,0.536211976242485,0.960159067278262,0,"TOD",839897,2377696,613229,1893112,360596,301197,1178790,710
"147",0.247353763735853,0.816601710683201,0.013166075443849,0.597661035191035,0.67147236991697,1,"TOD",870157,2397048,593033,1849076,351860,310717,1172120,704
"148",0.23576610392984,0.629939351185923,0.777586981624132,0.129975791451521,0.404755405596225,0,"TOD",822342,2391414,598248,1893772,355748,291663,1169947,699
"149",0.967788476580521,0.166127016190207,0.439257814795245,0.580112090012291,0.753746804070659,0,"TOD",830542,2412265,610478,1886868,366289,298852,1177071,710
"150",0.526745844645891,0.950870335387765,0.969817635863321,0.463804008964216,0.165931055925786,0,"TOD",819349,2389681,608676,1901744,361549,291085,1170976,692
"151",0.605185292276554,0.469448998734122,0.685863492804114,0.981254217362497,0.800826821337454,1,"TOD",861657,2398064,608120,1860664,357887,308654,1178352,712
"152",0.884474343671231,0.967792674043682,0.75937254160014,0.991256348497002,0.0952491956634913,0,"TOD",813191,2387301,626492,1916183,366268,290453,1169627,667
"153",0.934375878761988,0.07916281676176,0.78395600814675,0.959929060597671,0.991459140803665,0,"TOD",838659,2390078,623077,1903123,368135,302006,1175783,689
"154",0.540333571720868,0.0486699632171076,0.326057146122446,0.370084159821039,0.947576467157342,0,"TOD",841327,2393854,603434,1885795,361583,301565,1175433,704
"155",0.485044787080493,0.143465776311001,0.522604091887828,0.899417946841568,0.545729591573589,0,"TOD",832124,2361715,625969,1912736,362215,296636,1180777,691
"156",0.805472639974207,0.279765278110513,0.0974293609294109,0.282710089601809,0.8579911740073,0,"TOD",829119,2420200,599125,1877282,362341,297394,1171616,704
"157",0.910885634089122,0.175551723995944,0.0535863391328603,0.0932323291143402,0.208539017429575,0,"TOD",807724,2442746,592400,1881018,362507,287543,1158749,689
"158",0.546175500469748,0.223195798214991,0.230480832554167,0.201329681998352,0.0798030554661527,0,"TOD",815596,2409762,597865,1891745,359264,289263,1167015,692
"159",0.398395822223276,0.44735673125321,0.148687840871047,0.0846701433949638,0.422187634985195,1,"TOD",861148,2422706,571066,1841225,350154,307379,1153644,692
"160",0.125401582688792,0.0075777107346803,0.511417078131344,0.94805237073754,0.246599053991027,0,"TOD",831378,2331962,629471,1929443,360599,294021,1184654,702
"161",0.622363339714007,0.438902212494751,0.844854126902763,0.747337523185415,0.145942000612151,1,"TOD",849075,2416036,597362,1853891,357038,301823,1172238,708
"162",0.388071430944139,0.862705255069304,0.741259435548214,0.150182696717093,0.111088043490425,1,"TOD",853247,2421824,573115,1843852,349957,303892,1159468,696
"163",0.402361607242841,0.443663071847055,0.698728794954717,0.209085965498351,0.374112633537501,0,"TOD",822093,2397633,600102,1892258,358458,292484,1170637,696
"164",0.446180393558927,0.258566104242112,0.774689291423187,0.887000826109434,0.19605998329306,0,"TOD",823025,2357394,624993,1923675,365830,291990,1174453,684
"165",0.711992817225866,0.943482289616717,0.0229520134988707,0.840150114432909,0.928957865142031,1,"TOD",863233,2415442,600766,1848372,358006,310326,1175570,716
"166",0.206395247831475,0.688814986259211,0.762357756750658,0.7759816684213,0.727067151222145,1,"TOD",869760,2380770,603005,1857046,353105,310013,1177400,706
